RespondentID	CollectorID	StartDate	EndDate	IP Address	Email Address	First Name	LastName	Custom Data	DNA_RNA_protein sequence	DNA_RNA_Protein structure	Pathways_interactions_networks	Images	Phenotype	Ecological	Other_types	Work_with_large_datasets__now	Work_with_large_datasets__3_years	Updated_analysis_software__important_now	Updated_analysis_software__Your_institution_or_national_service_meets_this_need	Updated_analysis_software__important_3_years	Multi-step_analysis_workflows_or_pipelines__important_now	Multi-step_analysis_workflows_or_pipelines__Your_institution_or_national_service_meets_this_need	Multi-step_analysis_workflows_or_pipelines__important_3_years	High-performance_or_cluster_computing__important_now	High-performance_or_cluster_computing__Your_institution_or_national_service_meets_this_need	High-performance_or_cluster_computing__important_3_years	Cloud_computing__important_now	Cloud_computing__Your_institution_or_national service_meets_this_need	Cloud_computing__important_3_years	Sufficient_data_storage__important_now	Sufficient_data_storage__Your_institution_or_national_service_meets_this_need	Sufficient_data_storage__important_3_years	Data_discovery__important_now	Data_discovery__Your_institution_or_national_service_meets_this_need	Data_discovery__important_3_years	Share_data_with_colleagues__important_now	Share_data_with_colleagues__Your_institution_or_national_service_meets_this_need	Share_data_with_colleagues__important_3_years	Publish_data__important_now	Publish_data__Your_institution_or_national_service_meets_this_need	Publish_data__important_3_years	Data_volume_per_month	Sharing_with_whom_and_how	Training_bioinformatics_and_analysis_support__important_now	Training_bioinformatics_and_analysis_support__Your_institution_or_national_service_meets_this_need	Training_bioinformatics_and_analysis_support__important_3_years	Training_basic_programming_scripting__important_now	Training_basic_programming_scripting__Your_institution_or_national_service_meets_this_need	Training_basic_programming_scripting__important_3_years	Training_data_management_metadata__important_now	Training_data_management_metadata__Your_institution_or_national_service_meets_this_need	Training_data_management_metadata__important_3_years	Training_integrating_multiple_datatypes__important_now	Training_integrating_multiple_datatypes__Your_institution_or_national_service_meets_this_need	Training_integrating_multiple_datatypes__important_3_years	Training_scaling_analysis_cloud_HPC__important_now	Training_scaling_analysis_cloud_HPC__Your_institution_or_national_service_meets_this_need	Training_scaling_analysis_cloud_HPC__important_3_years	Tools_or_workflows_most_like_provided	Bioinformatics_skill_level	Agriculture	Biochemistry	Bioengineering	 Biogeography	Bioinformatics	Biomechanics	Biomedical research	"Biophysics, Biotechnology"	Botany	Cell biology	Cognitive biology	 Conservation biology	Developmental biology	Ecology	Environmental biology	Epidemiology	Evolutionary biology	Genetics	Hematology	Integrative biology	Marine biology	Microbiology	Molecular biology	 Neurobiology	Population biology	Paleontology	Pathology	Physiology	Phytopathology	Psychobiology	Structural biology	Zoology	Other_discipline	Plants	Animals	Microbes	Human	Non-model Organisms	Position	Position_other	Institute	State	Comment	Email_yes	Email_address
4851466074	88068535	07/13/2016 09:08:03	07/13/2016 09:21:18	masked					yes		yes					yes		YES	I don't know	YES	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	10GB	Deposit in public databases	NO	NO	YES	NO	YES	NO	YES	NO	YES	YES	NO	YES	YES	NO	YES	Consistent training opportunities for core omics analyses and beginner and intermediate levels	Intermediate	Agriculture				Bioinformatics				Botany									Genetics				Microbiology	Molecular biology				Pathology							plants		microbes			PhD student		The Australian National University	ACT	nope		masked
4848893346	88068505	7/12/16 4:15	7/12/16 4:19	masked					yes							yes		YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	NO	I don't know	YES	YES	I don't know	YES	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	100GB-1TB	"Work collegues (during processing) , community (following processing)"	YES	YES	YES	YES	NO	NO	YES	NO	YES	YES	NO	YES	YES	NO	YES	"Best practises for working on HPC, cloud etc."	Intermediate					Bioinformatics													Genetics																	animals		human		PhD student		Garvan Institute of Medical Research	NSW		yes I want to receive the update on the survey findings	masked
4848844240	88068535	7/12/16 3:13	7/12/16 3:19	masked					yes							yes		YES	NO	YES	YES	NO	YES	NO	NO	NO	YES	YES	YES	YES	NO	YES	YES	NO	YES	NO	I don't know	YES	YES	I don't know	YES	10-100GB	"Shared cloud platform, research group collaborators"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"Best practices in data management, good ways of linking multiple tools across different programs, e.g. command line tools, R scripts, python scripts to create fully automated workflow, best practices for reproducible research and documentation and tools to facilitate these"	Intermediate					Bioinformatics													Genetics							Population biology										animals			Aedes aegypti	Other (please specify)	Masters Student	University of Melbourne	Vic		yes I want to receive the update on the survey findings	masked
4848800629	88068535	7/12/16 2:26	7/12/16 2:31	masked					yes				yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	Coworkers and collaborators. Share via ftp etc	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	I don't know	Workshops abd training sessions for novel and applicable software in an ongoing manner	Intermediate					Bioinformatics		Biomedical research									Epidemiology		Genetics				Microbiology														microbes			PhD student		The university of melbourne 	Vic		yes I want to receive the update on the survey findings	masked
4848798106	88068535	7/12/16 2:13	7/12/16 2:29	masked					yes	yes	yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	"Publicly available databases (sequencing data), and Github for software/scripts"	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Advanced pipeline development and analysis (high impact case studies)	Advanced					Bioinformatics													Genetics				Microbiology	Molecular biology													microbes		parasites of socioeconomic importance	technician		Oswaldo Cruz Foundation (Brazil)	Currently living in Brazil / graduated MSc. in Melbourne (VIC)	Looking for stronger bilateral collaborations between Australia and Brazil (or multinational) in Bioinformatics	yes I want to receive the update on the survey findings	masked
4848791098	88068535	7/12/16 2:15	7/12/16 2:21	masked					yes		yes		yes			yes		YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	100GB-1TB	With collaborators locally and remotely as well as with the community.	YES	I don't know	YES	NO	I don't know	NO	YES	NO	I don't know	YES	NO	I don't know	NO	I don't know	NO	"GATK best practices, Plink, IGV, liftover, samtools, AWS/GCE, RNAseq"	Advanced					Bioinformatics		Biomedical research										Evolutionary biology	Genetics																			human		researcher (post-doc)			SA		yes I want to receive the update on the survey findings	masked
4848776902	88068505	7/12/16 1:54	7/12/16 2:07	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	NO	YES	I don't know	NO	YES	I don't know	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10GB	"Collaborators, data accompanying publication"	YES	YES	YES	YES	YES	YES	NO	NO	I don't know	YES	NO	YES	NO	NO	I don't know	"I worry if you provide me a tool or workflow it will not be portable, so everything is secondary to training. If there is a tool or pipeline, training to configure and use it for myself."	Advanced					Bioinformatics																															microbes	human		Other (please specify)	"Research fellow, but part of a pool of bioinformaticians who help researchers within our faculty."	Monash University	Vic		yes I want to receive the update on the survey findings	masked
4847074793	88068505	7/11/16 9:28	7/11/16 11:20	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	I don't know	100GB-1TB	Data is shared with researchers using a bespoke web based system.	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	Statistical data analysis and interpretation	Intermediate					Bioinformatics																																human		researcher (post-doc)			Vic		yes I want to receive the update on the survey findings	masked
4846946388	88068535	7/11/16 9:33	7/11/16 9:38	masked					yes		yes	yes	yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	"Colleagues, other scientists worldwide. Publish in peer review journals. Raw data to EBI ENA, NCBI GenBank, FigShare"	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Tools for analysis of microbial genomes and microbial genomic data	Intermediate																						Microbiology														microbes			Researcher (PI)		University of Melbourne	Vic			masked
4846935116	88068505	7/11/16 9:23	7/11/16 9:28	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	collaborators - dedicated webservers - bioapps - googledrive - dropbox	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	training biologists in programming	Advanced					Bioinformatics								Developmental biology				Evolutionary biology																		animals		human		Researcher (PI)		Australian Regenerative Medicine Institute - Monash University	Vic		yes I want to receive the update on the survey findings	masked
4846922616	88068505	7/11/16 9:08	7/11/16 9:18	masked					yes		yes		yes		biomarker data	no	Yes	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	Colleagues and other researchers via servers and data sharing services internal and external	YES	YES	YES	NO	YES	NO	NO	I don't know	NO	YES	I don't know	YES	YES	I don't know	YES	Support for data analytics	Intermediate							Biomedical research																												animals		human		researcher (post-doc)			Vic			masked
4846893784	88068535	7/11/16 8:50	7/11/16 8:54	masked					yes				yes	yes		yes		YES	YES	YES	I don't know	I don't know	I don't know	YES	YES	YES	I don't know	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	10-100GB	Community and colleagues 	YES	I don't know	YES	YES	YES	YES	YES	I don't know	I don't know	NO	I don't know	I don't know	I don't know	I don't know	I don't know	NA	Beginner				Biogeography								Conservation biology		Ecology	Environmental biology		Evolutionary biology	Genetics			Marine biology		Molecular biology		Population biology							Zoology			animals				researcher (post-doc)		Monash	Vic			masked
4846765582	88068505	7/11/16 6:56	7/11/16 7:07	masked					yes							yes		YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	YES	YES	YES	YES	NO	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	Colleagues. Share a server.	YES	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	NO	I don't know	YES	I don't know	YES	"Training, specific software"	Beginner												Conservation biology																							animals				researcher (post-doc)		The University of Melbourne	Vic			masked
4846649938	88068505	7/11/16 5:06	7/11/16 5:16	masked					yes				yes	yes		yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	Greater than 1TB	collaborators - none	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	"more cloud computing resources, systems administration trainings"	Intermediate														Ecology											Population biology							Zoology			animals			various invertebrates	researcher (post-doc)		Bio21	Vic		yes I want to receive the update on the survey findings	masked
4846497385	88068505	7/11/16 2:17	7/11/16 2:22	masked					yes		yes			yes	variants	yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	collaborators; Dropbox; Cloudstore; JAMp	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	YES	NO	None that I don't already have	Advanced					Bioinformatics												Evolutionary biology	Genetics																plants	animals			insects	Other (please specify)	Research faculty (PI)	Hawkesbury Institute for the Environment	NSW		yes I want to receive the update on the survey findings	masked
4845030517	88068505	7/09/16 12:50	7/09/16 13:02	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	YES	YES	YES	YES	YES	YES	10-100GB	"with colleagues, using WEHI servers"	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	"RNASeq, ChIP-Seq, and Hi-C data analysis, Unix and Python"	Intermediate					Bioinformatics													Genetics					Molecular biology														human		PhD student		WEHI and University of Melbourne	Vic		yes I want to receive the update on the survey findings	masked
4839918012	88068505	7/06/16 23:32	7/06/16 23:39	masked							yes		yes			no	"Yes, I will like to be able to analyse RNA seq data"	NO	YES	YES	NO	I don't know	YES	NO	YES	YES	NO	I don't know	I don't know	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	10GB	I share my data with collaborators through a shared drive on the server..	NO	NO	YES	NO	NO	YES	NO	I don't know	YES	NO	I don't know	YES	NO	I don't know	YES	How to analyse annotated data generated from next-generation sequencing approaches	Beginner							Biomedical research												Hematology				Molecular biology				Pathology										human		Researcher (PI)		RMIT University	Vic	I only know how to use NCBI's bioinformatics tools. How and where do I go to upgrade these skills?	yes I want to receive the update on the survey findings	masked
4838573722	88068505	7/06/16 12:50	7/06/16 13:40	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	YES	YES	YES	NO	YES	NO	NO	YES	YES	YES	YES	YES	Greater than 1TB	The public and collaborators via SRA/Zenodo/Personal webspace	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	NO	NO	YES	YES	YES	-	Advanced	Agriculture				Bioinformatics													Genetics																plants					researcher (post-doc)			WA			masked
4838467791	88068505	7/06/16 12:46	7/06/16 12:53	masked					yes			yes		yes		yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	YES	I don't know	I don't know	YES	YES	YES	YES	YES	NO	YES	100GB-1TB	"researchers, make all sequences publicly available"	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	I don't know	YES	YES	I don't know	YES	bpipe	Advanced	Agriculture				Bioinformatics							Conservation biology			Environmental biology		Evolutionary biology					Microbiology	Molecular biology											plants	animals		human	orchids	industry		AGRF	Qld	I can teach if needed	yes I want to receive the update on the survey findings	masked
4838131101	88068505	7/06/16 8:59	7/06/16 9:09	masked					yes		yes					yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	YES	NO	NO	YES	YES	NO	YES	YES	I don't know	YES	NO	I don't know	YES	10GB	Collaborators across campus. Portable drives	YES	YES	YES	YES	YES	I don't know	NO	I don't know	YES	NO	I don't know	YES	YES	I don't know	YES	Ingenuity Pathways Analysis access and training	Intermediate							Biomedical research									Epidemiology																					human		researcher (post-doc)		Melbourne University	Vic		yes I want to receive the update on the survey findings	masked
4838115426	88068505	7/06/16 8:53	7/06/16 8:56	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	NO	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	YES	NO	YES	I don't know	Publication	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	None.	Advanced		Biochemistry			Bioinformatics				Botany	Cell biology													Molecular biology											plants		microbes		protists	PhD student			Vic		yes I want to receive the update on the survey findings	masked
4838018012	88068505	7/06/16 7:30	7/06/16 7:36	masked					yes				yes	yes		yes		YES	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	NO	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	I don't know	"Colleagues from other universities/countries, part of the collaborative team"	YES	I don't know	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	open source pipelines are always welcome	Beginner												Conservation biology				Epidemiology						Microbiology														microbes			PhD student		University of Melbourne	Vic		yes I want to receive the update on the survey findings	masked
4838004683	88068505	7/06/16 7:18	7/06/16 7:24	masked					yes							yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	I don't know	"cloud storage - ie box, stakeholders and colleagues in other institutes "	YES	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	data management	Beginner	Agriculture																																		animals				researcher (post-doc)		DEDJTR	Vic		yes I want to receive the update on the survey findings	masked
4837812398	88068505	7/06/16 3:52	7/06/16 4:00	masked					yes		yes		yes	yes		yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	My projects attempts to solve an ecological problem that leads to bacterial infection in women. I intend to share my data and findings with clinicians and the health care industry. I would do this through High Performance Computing that would give clinicians access to my findings.	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	"Training in genome assembly, using reference genome, etc."	Intermediate					Bioinformatics									Ecology		Epidemiology		Genetics				Microbiology														microbes			Other (please specify)	Masters Student	The University of Melbourne	Vic		yes I want to receive the update on the survey findings	masked
4837768535	88068535	7/06/16 2:48	7/06/16 3:15	masked					yes	yes	yes					no	yes	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	I don't know	YES	NO	YES	YES	NO	I don't know	YES	10-100GB	Collaborators	NO	YES	YES	NO	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"Network and pathway analysis, phylogenetics"	Advanced		Biochemistry			Bioinformatics				Botany	Cell biology								Genetics																plants		microbes			PhD student			Vic			masked
4837720238	88068535	7/06/16 2:22	7/06/16 2:30	masked					yes					yes	microbiome	yes		YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	I don't know	YES	YES	I don't know	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	unsure	YES	NO	YES	NO	I don't know	NO	NO	I don't know	NO	YES	YES	NO	NO	I don't know	NO	QIIME/ Mothur and R analysis for microbiota	Advanced							Biomedical research															Microbiology														microbes	human		PhD student		Deakin University / MCRI	Vic		yes I want to receive the update on the survey findings	masked
4837558358	88068535	7/06/16 0:14	7/06/16 0:20	masked					yes		yes		yes			no	Yes	YES	NO	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	I don't know	Collaborators and other Lab members. Generally shared by email/dropbox	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	NO	YES	I don't know	I don't know	I don't know	specific software and training	Beginner							Biomedical research			Cell biology								Genetics															Immunology		animals		human		researcher (post-doc)			Vic		yes I want to receive the update on the survey findings	masked
4835626723	88068535	7/05/16 7:23	7/05/16 7:36	masked					yes	yes	yes					yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	10-100GB	"Coworkers, collaborators, wider scientific community. I share via file sharing platforms (google drive, dropbox etc), ssh, physical drives. "	YES	YES	YES	NO	YES	NO	NO	I don't know	I don't know	YES	I don't know	I don't know	YES	I don't know	YES	"Advanced programming, good programming/software practices, structural bioinformatics workflows."	Intermediate		Biochemistry	Bioengineering		Bioinformatics												Evolutionary biology														Structural biology				animals	microbes	human	"Parasites including ticks, flukes, whipworms, roundworms etc"	PhD student		"Institute of Molecular Bioscience, the University of Queensland"	Qld			masked
4835372545	88068535	7/05/16 2:18	7/05/16 2:23	masked					yes		yes		yes			yes		YES	YES	YES	I don't know	I don't know	I don't know	NO	I don't know	I don't know	NO	YES	I don't know	NO	YES	YES	YES	I don't know	YES	NO	I don't know	YES	YES	YES	YES	I don't know	Supervisors and collaborators. 	YES	NO	YES	YES	I don't know	YES	YES	NO	YES	YES	NO	YES	NO	I don't know	NO	Centralised place for friendly and helpful bioinformatic help. ongoing trainings for extreme beginners. comparison of all the different types of softwares and its uses and advantages	Beginner							Biomedical research									Epidemiology		Genetics																			human		PhD student		University of Melbourne 	Vic		yes I want to receive the update on the survey findings	masked
4835241143	88068535	7/04/16 23:29	7/04/16 23:38	masked					yes	yes			yes		mircobiome	yes		YES	I don't know	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	I don't know	"collaborators, though the cloud"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	"training, bioinformatic and data management support"	Beginner																Epidemiology		Genetics		Integrative biology																microbes	human		Other (please specify)	program manager	Murdoch Childrens Research Institute	Vic	Support for how to integrate and utilise large datasets is key. We need to support people launching human studies (e.g. cohorts) in using data management systems and pipelines that will support efficient and greater use. To achieve the second of these Australia should invest in development of data pipelines (and associated available databases and software) for all type of data and standard practices for cleaning and analysis.	yes I want to receive the update on the survey findings	masked
4835131572	88068535	7/04/16 21:28	7/04/16 21:40	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	10-100GB	colleagues and collaborators (in future). Currently with colleagues we share via group shared folder. 	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	NO	I don't know	YES	"more basic training and standard pipelines. The bioinformatic team is helpful but they are also overwhelmed with their own projects, so would be good to have designated people for training and 'troubleshooters' for researchers with very limited background in computing ."	Beginner													Developmental biology			Epidemiology		Genetics																			human		researcher (post-doc)		Murdoch Childrens Research Institute	Vic		yes I want to receive the update on the survey findings	masked
4834275156	88068535	7/04/16 10:46	7/04/16 11:06	masked					yes							yes		YES	NO	YES	YES	NO	YES	NO	YES	I don't know	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	NO	I don't know	I don't know	NO	YES	I don't know	10GB	"Local collaborators, by local network"	YES	NO	YES	NO	NO	YES	YES	I don't know	YES	YES	NO	YES	YES	YES	YES	Galaxy	Intermediate																						Microbiology					Pathology									microbes			researcher (post-doc)		CNRS	France		yes I want to receive the update on the survey findings	masked
4834273814	88068535	7/04/16 10:08	7/04/16 11:05	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	Greater than 1TB	EGA/ICGC	NO	YES	NO	NO	YES	NO	NO	I don't know	YES	YES	I don't know	YES	YES	YES	YES	n/a (we self-provision)	Advanced					Bioinformatics																																human		Researcher (PI)		VCCC	Vic			masked
4833926144	88068535	7/04/16 5:39	7/04/16 5:43	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	I don't know	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	My institute via a shared cluster/server	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO	NO	NO	C++ training	Advanced					Bioinformatics																														animals		human		researcher (post-doc)		MCRI	Vic			masked
4833911787	88068535	7/04/16 5:16	7/04/16 5:23	masked								yes				yes	Image sets are now well into the terabyte range	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	NO		YES	YES	YES	NO	I don't know	YES	YES	NO	YES	NO	NO	YES	I don't know	"Ideally, I'd like to be able to share large image data sets with collaborators anywhere in the world. This is not yet possible."	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	NO	I don't know	I don't know	YES	I don't know	YES	"Matlab, CellProfiler, CellProfiler Analyst"	Beginner										Cell biology			Developmental biology										Molecular biology												animals				technician		"Institute for Molecular Bioscience, University of Queensland"	Qld			masked
4833892762	88068535	7/04/16 4:52	7/04/16 4:56	masked					yes							yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	NO	I don't know	YES	YES	YES	I don't know	I don't know	I don't know	YES	I don't know	YES	YES	I don't know	YES	10-100GB	"Collaborators, group members"	YES	NO	YES	YES	NO	YES	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	NA	Advanced					Bioinformatics								Developmental biology																						animals		human		PhD student			Vic		yes I want to receive the update on the survey findings	masked
4833878145	88068535	7/04/16 4:30	7/04/16 4:35	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	100GB-1TB	"Other researchers. Usually data repositories, e.g. FigShare. Sometimes GitHub if small."	YES	YES	YES	YES	NO	YES	I don't know	NO	I don't know	NO	NO	I don't know	YES	YES	YES	"More basic programming classes, as well as those to address intermediate programming skills, moving beyond the beginner workshops."	Advanced					Bioinformatics																																human		PhD student		Murdoch Childrens Research Insititute	Vic		yes I want to receive the update on the survey findings	masked
4833636651	88068535	7/03/16 22:25	7/03/16 22:30	masked						yes						no	no	YES	YES	I don't know	NO	YES	I don't know	NO	YES	I don't know	NO	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	10-100GB	"Colleagues, email."	YES	YES	I don't know	NO	YES	I don't know	NO	YES	YES	NO	YES	I don't know	NO	I don't know	I don't know	Don't know	Beginner		Biochemistry																																			human	Leishmania tarentolae	researcher (post-doc)		University of Queensland	Qld			masked
4833620767	88068535	7/03/16 21:59	7/03/16 22:05	masked					yes							yes		YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	I don't know	I don't know	10-100GB	I share with supervisors with an external hard disk.	YES	YES	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Galaxy	Beginner		Biochemistry			Bioinformatics																																	"venoms, synthetic and non-synthetic proteins"	undergraduate		"Institute for Moelcualr Bioscience, UQ"	Qld		yes I want to receive the update on the survey findings	masked
4833019664	88068535	7/03/16 4:30	7/03/16 4:36	masked							yes					no	no	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	"co-authors, email or USB"	NO	YES	I don't know	NO	YES	NO	YES	YES	YES	YES	YES	YES	NO	NO	I don't know	more training on how to make the most of software packages	Beginner	Agriculture	Biochemistry							Botany						Environmental biology								Molecular biology											plants					PhD student		University of Melbourne	Vic			masked
4833016815	88068535	7/03/16 4:23	7/03/16 4:29	masked								yes			Metabolomics	no	Maybe 	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	100GB-1TB	Scientific community 	I don't know	I don't know	YES	NO	I don't know	YES	I don't know	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	Training in bioinformatics 	Never used bioinformatics tools	Agriculture								Botany																									plants					PhD student		University of Melbourne 	Vic	None 	yes I want to receive the update on the survey findings	masked
4832973446	88068535	7/03/16 2:41	7/03/16 2:48	masked					yes							yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	10GB	Collegues	YES	YES	I don't know	YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	I don't know	I don't know	I don't know	trainings	Intermediate																Epidemiology							Molecular biology													microbes			PhD student		Institute for molecular biosciences	Qld		yes I want to receive the update on the survey findings	masked
4832954581	88068535	7/03/16 2:02	7/03/16 2:09	masked							yes					yes		YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	10GB	My collegues using internal Internet 	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Bioinformatics	Beginner	Agriculture								Botany																									plants					Other (please specify)	Master	Melbourne university	Vic		yes I want to receive the update on the survey findings	masked
